Ticker,p,d,q,garch1,garch2,predmean,predsd
IR-NJ,0,1,0,2,2,24.4817081769425,0.634520812251555
JANUS,4,1,1,2,2,145.343821033598,9.83521589694243
JCI,1,1,1,2,2,25.6822512884978,0.703028573204518
JCP,2,1,3,2,2,424.565526434711,11.6877490766674
JNPR,4,1,5,1,1,68.0815853041199,0.0093911486110463
JWN,1,1,1,2,2,24.1247717889945,0.952578436295525
K,1,1,1,2,2,38.8680679999417,0.254497629200899
KBH,2,1,1,1,1,149.54365387389,2.96781283256341
KIM,2,1,2,0,0,41.3618790816518,10.5585639127398
KMB,2,1,4,2,2,16.9396075223492,0.176074045259101
KMG,5,1,5,2,1,30.1082258953964,0.903727951383646
KMP,5,1,5,2,2,43.0112734745534,1.61340302992155
KR,0,1,1,2,1,21.6329440002459,1.67002527234773
KSE,0,1,1,2,2,16.1391956462122,0.52469235327503
KSS,3,1,4,2,2,41.9409464197351,1.06087804582183
LEN,1,1,2,2,2,109.196897027056,4.80691304073618
LEVI-+Co,0,2,2,0,0,123.107467865,23.3497965768061
LH,2,1,1,2,2,62.6141091446971,3.01122659024732
LIBMUT,4,1,4,2,1,27.6189884307943,0.336635729253496
LLY,4,1,3,2,2,12.9395971247625,0.187168686704855
LM,3,1,3,1,1,36.0778826200867,0.448653077987616
LMT,0,1,1,2,2,12.4921209959725,0.339338516426503
LNC,4,1,2,2,2,38.8627305415376,1.68666509908045
LOW,2,1,2,2,2,13.9004927661345,0.506638145075299
LPX,1,1,2,2,2,105.519353622761,2.43480754792742
LTR,4,1,3,1,1,13.3507323331729,0.42472285647693
LUV,0,1,2,2,2,28.01449015794,0.607398568075262
MAR,1,1,1,2,2,18.8003290879696,0.791134775945358
MAS,3,1,2,2,2,60.3725928573998,1.38886378257593
MAT,5,1,3,1,1,35.6344923109891,0.308933241655318
MBG,4,1,5,2,1,138.277386190172,4.40345852201553
MBI-InsCorp,3,1,3,0,0,809.243060458077,174.06607227123
MBI,0,1,2,2,2,352.985119780732,3.64004940313078
MCCC-MedcomLLC,0,1,0,2,2,125.163530962733,2.66010836488685
MCD,0,1,1,2,2,11.394880780059,0.344031573127655
MCK,2,1,2,2,2,12.9057072519655,0.445134129080861
MDT,3,1,3,2,2,13.2007033381635,0.158128697390306
MET,5,1,3,2,2,31.2172597259368,0.659189126343311
MGA,0,1,1,2,2,322.579419153449,13.8816114910648
MGIC,0,1,1,2,2,161.550711511418,3.85840590942432
MMM,3,1,3,2,2,9.15543274066548,0.159836004834633
MO,3,1,3,2,2,17.0212651774456,0.592004915120441
MON,2,1,2,2,2,17.2948020898418,0.507427112930052
MPBCO,4,1,4,2,2,53.5875142329897,2.1452070840024
MRO,3,1,1,2,2,31.6271101230505,0.440609984605589
MU,3,1,4,2,1,290.488644869991,9.13710148626838
MWD,5,1,5,1,1,48.8614835323749,0.825033675796704
MWV,2,1,3,2,2,36.2939463945388,0.854336190174036
NAV,3,1,2,2,2,500.190725337527,4.36277218599672
NBR-Inc,2,1,2,2,2,43.7152516516697,0.855416391211063
NCX,0,1,2,2,2,92.1541405160023,3.03710827548955
NEM,1,1,1,0,0,55.6569494501585,5.18633655818849
NGGLN-NiaMoPwr,1,1,2,2,2,47.0195261222893,0.888129368103885
NRUC,4,1,2,2,2,23.9639020430421,0.472143220392182
NSC,0,1,0,2,2,11.4620633790627,0.609766485761719
NWL,2,1,1,2,2,31.6378416606098,0.764016763751741
ODP,4,1,5,2,2,118.204386206439,1.88209342287734
OI,1,1,0,2,2,83.6498928128485,1.88411950475163
OKE,2,1,3,2,2,45.5465909118357,0.475532797770825
OLN,0,1,2,2,2,81.5359053563896,1.25374347610069
OMC,1,1,1,2,2,18.3934113940024,0.491040326674094
OXY,1,1,1,2,2,27.1952613433987,0.677953974649499
PBI,1,1,1,1,1,41.8314911866344,0.677293103262701
PBY,1,1,0,2,2,224.89782998469,1.50346146200927
PDE,4,1,1,2,2,34.8090776887096,0.901055705923493
PEG-PSEGEnergy,4,1,5,2,2,0.573246175698861,22.4126436184612
PEG-PSEGPower,4,1,5,2,2,50.8606550977521,0.436874297466587
PEP,1,1,1,2,2,21.1165402649932,0.349966062869255
PGN,2,1,1,2,2,13.0400900046472,0.287342635847405
PHHCO,2,1,2,0,0,221.77412238766,106.198737796586
PKI,1,1,3,2,2,70.5796740640922,0.223901227515056
POL,5,1,5,2,2,132.647023235647,5.76013060460676
POM,1,1,1,2,1,39.2130909412741,2.19075160558026
PPG,3,1,3,2,2,19.0610350621789,0.120479868217735
PPL-EnergySupp,2,1,2,2,2,128.451089712105,1.92800510879078
PRU,2,1,2,2,2,32.2730964871799,0.7510785175387
PX,5,1,5,2,2,15.3318462978593,0.343970520530922
QUS-CapFund,1,1,2,2,2,65.9028974320771,1.28232454679239
QUS-Corp,1,1,1,2,2,47.7908463488285,0.21429611837891
QUS,1,1,1,0,0,76.13156,14.81005
R,1,1,1,2,2,27.0515424982416,0.893483392343792
RAD,5,1,5,2,2,163.942209716018,4.96431027007053
RAI-RJR,5,1,3,2,2,32.4958779964574,1.29438015378073
RBK,1,2,2,2,2,105.638470657101,0.112144427718846
RDN-AssetAss,1,1,3,2,2,165.939773439408,9.43665655920095
RDN,1,1,1,1,1,170.515330945084,5.2736628610278
ROH,2,1,2,2,2,14.70383763978,0.33184256526305
RSG,1,1,1,2,2,24.9052863095728,0.682057451695298
RSH,5,2,0,0,0,13910.9285031552,147.654496311157
RTN,1,1,2,2,2,13.0636931799025,0.36743925640397
SAFC,0,1,1,2,2,59.838066648637,0.324771026476343
SCH,3,1,1,2,2,25.7339194449122,1.08303641122641
SEE,2,1,1,2,2,81.8780418499637,2.10669990030718
SFD,2,1,2,2,2,95.8434232412831,3.00924951190469
SHC-Acceptance,4,1,4,2,2,1714.67975376324,28.7887224280193
SHW,3,1,2,1,1,18.2398619638745,0.893425201215625
SJRCN,5,1,1,2,2,90.7011107591825,0.676671090147317
SKS,4,1,5,1,1,36.4978369230118,1.81078264787154
SPF,5,1,3,1,1,106.740659090729,5.2614502916678
SPG-LP,0,1,2,1,1,23.0234410080811,0.646500700360373
SPG,3,1,4,1,1,23.04219,0.7867328
SPLS,1,1,1,2,2,85.0227406224226,3.44805497409766
SRE,2,1,1,2,2,18.6250889387922,0.352794781037066
SRV,1,1,3,2,1,93.7837953245757,0.294107048361237
STZ,1,1,2,2,2,53.798090406237,4.06881675169204
SVU,3,1,2,2,2,159.321950226267,6.00679571538511
SWY,1,1,2,2,2,158.110884904443,2.88013580202033
TRUE,1,1,1,2,2,20.9648283828264,0.0926746264879872
TCN,0,1,1,2,2,19.0218488181727,0.179167600598221
TDS,1,1,2,2,2,37.0449357166045,1.55580075633508
TE,2,1,1,2,2,25.80585,0.07447863
TGT,4,1,4,2,2,21.4329067562876,0.520490465797471
THC,1,1,1,2,2,129.518367372714,4.53884655069995
TIN,3,1,2,2,2,12.196559845782,0.38211641709022
TJX,0,1,1,2,2,13.1030490763066,0.453856250536837
TNB,1,1,4,2,1,26.9551282231543,0.526358965934251
TOL,5,1,3,1,1,80.8389385945956,2.70797988818358
TOY,5,1,5,2,2,1530.99173648201,53.3674515568936
TSG,5,1,2,2,2,174.64482108338,2.25419785250501
TSN,4,1,4,2,2,39.6611855108292,0.794720776370931
TW,1,1,4,2,2,21.6879773001429,0.576565665684116
TXN,0,1,0,2,2,18.9543478698482,0.141165083546707
TXT-FinCorp,2,1,2,1,1,14.9648636610433,0.528341587907559
TXT,4,1,3,2,2,40.5435009277382,0.455598068468662
UK,5,1,3,2,2,32.273984024556,2.24572196819954
UNP,0,1,1,2,2,10.4826165675371,0.288787286911518
URI,5,1,5,2,2,91.7697867302648,3.60037463379297
USM,1,1,2,2,2,89.152948639794,1.98976293562322
UTX,4,1,3,1,1,11.5252729085506,0.219416204669187
UVV,4,1,4,2,2,29.5340681801259,0.476540119161758
VCI,5,1,3,2,2,367.418315095001,12.1571666500431
VNO,2,1,2,2,2,40.560923382328,8.78724503448019
VZW-Capital,2,1,2,2,2,15.7573976615999,0.114910601359412
WFC,2,1,2,1,1,23.9874443980118,0.498707501064818
WFT,1,1,2,2,2,44.2754217074049,0.880955465945152
WHR,3,1,3,1,1,29.7854621836973,1.07945424829652
WMB,5,1,1,2,2,47.6752187000728,0.946791497225947
WMI,2,1,0,1,1,17.8909184832262,0.86047905091286
WY,4,1,3,2,1,25.8428446448283,0.566874293731154
X,1,1,1,1,1,104.869446911198,7.46214872896943
XEL,5,1,3,2,2,17.7872823347157,0.594402876415562
XRX,4,1,5,2,2,34.4825626387007,1.34182641784771
XTO,3,1,5,2,2,6.884101,0.07223213
YUM,2,1,3,2,2,26.565656515264,0.737838449216451
