redcode,date,ticker,sector,spread3y
49EB20,20040101,IBM,Technology,0.001725
49EB20,20040102,IBM,Technology,0.001725
49EB20,20040105,IBM,Technology,0.001725
49EB20,20040106,IBM,Technology,0.00164
49EB20,20040107,IBM,Technology,0.001663758
49EB20,20040108,IBM,Technology,0.00164
49EB20,20040109,IBM,Technology,0.0017275
49EB20,20040112,IBM,Technology,0.001781689
49EB20,20040113,IBM,Technology,0.001731795
49EB20,20040114,IBM,Technology,0.001762278
49EB20,20040115,IBM,Technology,0.001769581
49EB20,20040116,IBM,Technology,0.0018125
49EB20,20040119,IBM,Technology,0.001818262
49EB20,20040120,IBM,Technology,0.001596963
49EB20,20040121,IBM,Technology,0.001622192
49EB20,20040122,IBM,Technology,0.001580212
49EB20,20040123,IBM,Technology,0.001561728
49EB20,20040126,IBM,Technology,0.001615278
49EB20,20040127,IBM,Technology,0.0016225
49EB20,20040128,IBM,Technology,0.00166
49EB20,20040129,IBM,Technology,0.0016975
49EB20,20040130,IBM,Technology,0.001741439
49EB20,20040202,IBM,Technology,0.0016975
49EB20,20040203,IBM,Technology,0.001648
49EB20,20040204,IBM,Technology,0.001648
49EB20,20040205,IBM,Technology,0.001827037
49EB20,20040206,IBM,Technology,0.001831264
49EB20,20040209,IBM,Technology,0.00188625
49EB20,20040210,IBM,Technology,0.001869
49EB20,20040211,IBM,Technology,0.001849286
49EB20,20040212,IBM,Technology,0.001812883
49EB20,20040213,IBM,Technology,0.001814437
49EB20,20040216,IBM,Technology,0.001780823
49EB20,20040217,IBM,Technology,0.001751597
49EB20,20040218,IBM,Technology,0.001744942
49EB20,20040219,IBM,Technology,0.001779927
49EB20,20040220,IBM,Technology,0.001876002
49EB20,20040223,IBM,Technology,0.001882571
49EB20,20040224,IBM,Technology,0.002005714
49EB20,20040225,IBM,Technology,0.001911148
49EB20,20040226,IBM,Technology,0.001907567
49EB20,20040227,IBM,Technology,0.001906245
49EB20,20040301,IBM,Technology,0.00211789
49EB20,20040302,IBM,Technology,0.00213559
49EB20,20040303,IBM,Technology,0.002129321
49EB20,20040304,IBM,Technology,0.002098365
49EB20,20040305,IBM,Technology,0.002071288
49EB20,20040308,IBM,Technology,0.002068543
49EB20,20040309,IBM,Technology,0.002069802
49EB20,20040310,IBM,Technology,0.002050215
49EB20,20040311,IBM,Technology,0.002092366
49EB20,20040312,IBM,Technology,0.002223264
49EB20,20040315,IBM,Technology,0.002380483
49EB20,20040316,IBM,Technology,0.002235948
49EB20,20040317,IBM,Technology,0.002239725
49EB20,20040318,IBM,Technology,0.002232219
49EB20,20040319,IBM,Technology,0.002231862
49EB20,20040322,IBM,Technology,0.002426585
49EB20,20040323,IBM,Technology,0.002481008
49EB20,20040324,IBM,Technology,0.002514269
49EB20,20040325,IBM,Technology,0.002449365
49EB20,20040326,IBM,Technology,0.002737908
49EB20,20040329,IBM,Technology,0.002711241
49EB20,20040330,IBM,Technology,0.002684574
49EB20,20040331,IBM,Technology,0.002416667
49EB20,20040401,IBM,Technology,0.00245
49EB20,20040402,IBM,Technology,0.002416667
49EB20,20040405,IBM,Technology,0.00225
49EB20,20040406,IBM,Technology,0.00235
49EB20,20040407,IBM,Technology,0.00235
49EB20,20040408,IBM,Technology,0.002346667
49EB20,20040409,IBM,Technology,0.002346667
49EB20,20040412,IBM,Technology,0.002403
49EB20,20040413,IBM,Technology,0.002391667
49EB20,20040414,IBM,Technology,0.002325
49EB20,20040415,IBM,Technology,0.002308
49EB20,20040416,IBM,Technology,0.002348
49EB20,20040419,IBM,Technology,0.00222
49EB20,20040420,IBM,Technology,0.002168125
49EB20,20040421,IBM,Technology,0.00226375
49EB20,20040422,IBM,Technology,0.00226375
49EB20,20040423,IBM,Technology,0.002244286
49EB20,20040426,IBM,Technology,0.00215
49EB20,20040427,IBM,Technology,0.002146
49EB20,20040428,IBM,Technology,0.00208
49EB20,20040429,IBM,Technology,0.002221667
49EB20,20040430,IBM,Technology,0.002255
49EB20,20040503,IBM,Technology,0.002135833
49EB20,20040504,IBM,Technology,0.00215
49EB20,20040505,IBM,Technology,0.00215
49EB20,20040506,IBM,Technology,0.002108333
49EB20,20040507,IBM,Technology,0.002161667
49EB20,20040510,IBM,Technology,0.002049
49EB20,20040511,IBM,Technology,0.002336667
49EB20,20040512,IBM,Technology,0.00227
49EB20,20040513,IBM,Technology,0.002202857
49EB20,20040514,IBM,Technology,0.002174286
49EB20,20040517,IBM,Technology,0.002336
49EB20,20040518,IBM,Technology,0.002308
49EB20,20040519,IBM,Technology,0.002131429
49EB20,20040520,IBM,Technology,0.001996667
49EB20,20040521,IBM,Technology,0.001996667
49EB20,20040524,IBM,Technology,0.002076
49EB20,20040525,IBM,Technology,0.002076
49EB20,20040526,IBM,Technology,0.001988333
49EB20,20040527,IBM,Technology,0.001955
49EB20,20040528,IBM,Technology,0.001924286
49EB20,20040531,IBM,Technology,0.001924286
49EB20,20040601,IBM,Technology,0.001814
49EB20,20040602,IBM,Technology,0.0018975
49EB20,20040603,IBM,Technology,0.001898
49EB20,20040604,IBM,Technology,0.001982143
49EB20,20040607,IBM,Technology,0.00218125
49EB20,20040608,IBM,Technology,0.00218125
49EB20,20040609,IBM,Technology,0.00218125
49EB20,20040610,IBM,Technology,0.00218125
49EB20,20040611,IBM,Technology,0.00218125
49EB20,20040614,IBM,Technology,0.002185
49EB20,20040615,IBM,Technology,0.002185
49EB20,20040616,IBM,Technology,0.00214125
49EB20,20040617,IBM,Technology,0.00214125
49EB20,20040618,IBM,Technology,0.00214125
49EB20,20040621,IBM,Technology,0.00214125
49EB20,20040622,IBM,Technology,0.00214125
49EB20,20040623,IBM,Technology,0.001956617
49EB20,20040624,IBM,Technology,0.001956617
49EB20,20040625,IBM,Technology,0.001906356
49EB20,20040628,IBM,Technology,0.001804
49EB20,20040629,IBM,Technology,0.001804
49EB20,20040630,IBM,Technology,0.001811667
49EB20,20040701,IBM,Technology,0.001811667
49EB20,20040702,IBM,Technology,0.001811667
49EB20,20040705,IBM,Technology,0.001811667
49EB20,20040706,IBM,Technology,0.001864
49EB20,20040707,IBM,Technology,0.001864
49EB20,20040708,IBM,Technology,0.001637704
49EB20,20040709,IBM,Technology,0.001767336
49EB20,20040712,IBM,Technology,0.001728713
49EB20,20040713,IBM,Technology,0.001728713
49EB20,20040714,IBM,Technology,0.001288713
49EB20,20040715,IBM,Technology,0.001475197
