spread,spreadsd,FinalSector,logreturn,Rating
31.86849643,1.778116551,ConsumerGoods,-0.005024866,BBB
107.2219517,2.66188659,Healthcare,-0.004312622,B+
41.18549869,1.060190455,Financials,-0.004550768,BBB
12.63803002,0.581046465,ConsumerServices,-0.002623648,A
36.3060169,0.955415108,Financials,-0.001999332,BBB+
69.58813275,1.912074901,ConsumerGoods,0.000752921,BBB-
9.760238446,0.329144086,Industrials,-0.001800713,A
27.37518001,0.830857804,ConsumerServices,-0.002402663,BBB
31.08351213,0.688610281,Technology,-0.003329727,BBB
27.97110383,0.557509395,Healthcare,-0.002213221,A-
19.94559001,0.382328073,Technology,-0.001275894,AA-
110.3643502,1.579020615,ConsumerServices,0.092053345,BB+
14.12948902,0.584368834,Technology,-0.00120579,A+
33.49351688,0.954510345,BasicMaterials,-0.002058501,BBB
24.48170818,0.634520812,Industrials,-0.000614132,BBB
145.343821,9.835215897,Financials,-4.35E-05,BBB
25.68225129,0.703028573,ConsumerGoods,-0.001619349,BBB+
424.5655264,11.68774908,ConsumerServices,-0.001868829,B
68.0815853,0.009391149,Technology,0.00163756,BBB
24.12477179,0.952578436,ConsumerServices,-0.001927081,BBB+
38.868068,0.254497629,ConsumerGoods,-0.027985398,BBB
149.5436539,2.967812833,ConsumerGoods,-0.002983247,B
41.36187908,10.55856391,Financials,-0.000269339,BBB+
16.93960752,0.176074045,ConsumerGoods,-0.003351388,A
43.01127347,1.61340303,Energy,-0.003467074,BBB-
21.632944,1.670025272,ConsumerServices,-0.001758482,BBB
41.94094642,1.060878046,ConsumerServices,-0.002724332,BBB
109.196897,4.806913041,ConsumerGoods,-0.001991417,BB
62.61410914,3.01122659,Healthcare,0.000102638,BBB
12.93959712,0.187168687,Healthcare,-0.002145204,AA-
36.07788262,0.448653078,Financials,0.000134314,BBB
12.492121,0.339338516,Industrials,-0.003352495,BBB+
38.86273054,1.686665099,Financials,-0.002953411,A-
13.90049277,0.506638145,ConsumerServices,-0.00171482,A-
18.80032909,0.791134776,ConsumerServices,-0.00302453,BB
60.37259286,1.388863783,ConsumerGoods,-0.001693903,BBB
35.63449231,0.308933242,ConsumerGoods,-0.000117221,BBB
352.9851198,3.640049403,Financials,-0.00219741,A-
11.39488078,0.344031573,ConsumerServices,-0.000990605,BBB+
12.90570725,0.445134129,Healthcare,-0.000462127,BBB+
13.20070334,0.158128697,Healthcare,-0.002851852,A
31.21725973,0.659189126,Financials,-0.002537712,A-
322.5794192,13.88161149,ConsumerGoods,0.000526277,A-
161.5507115,3.858405909,Financials,-0.005483442,BB
9.155432741,0.159836005,Industrials,-9.22E-05,AA-
17.02126518,0.592004915,ConsumerGoods,-0.002151202,A-
17.29480209,0.507427113,BasicMaterials,-0.002573673,BBB+
31.62711012,0.440609985,Energy,-0.001759425,BBB-
290.4886449,9.137101486,Technology,-3.96E-05,BB
43.71525165,0.855416391,Energy,-0.003167039,BBB-
92.15414052,3.037108275,BasicMaterials,-0.002591007,NA
55.65694945,5.186336558,BasicMaterials,0.000133535,BBB
11.46206338,0.609766486,Industrials,0.008349333,BBB+
31.63784166,0.764016764,ConsumerGoods,-0.001646265,BBB-
118.2043862,1.882093423,ConsumerServices,-0.002899859,B-
45.54659091,0.475532798,Energy,-0.000849297,BB+
81.53590536,1.253743476,BasicMaterials,-0.001186238,BB+
